L6P	2106	3060
L6R	2215	3042
L6S	1929	2622
L6T	2120	2849
L6V	2100	2804
L6W	1742	2434
L6X	2125	2957
L6Y	1987	2827
L6Z	1843	2592
L7A	2213	3094
L7B	1332	2152
L7C	1564	2362
L7E	1275	1929
L7G	1067	1657
L7J	1023	1605
L7K	1131	1797
L7L	1011	1585
L7M	1008	1593
L7N	1013	1601
L7P	1004	1565
L7R	1083	1670
L7S	1020	1576
L7T	1026	1612
L8B	1037	1645
L8E	1255	1880
L8G	1165	1724
L8H	1401	1964
L8J	1236	1892
L8K	1295	1859
L8L	1559	2148
L8M	1416	1987
L8N	1502	2159
L8P	1388	2016
L8R	1519	2130
L8S	1322	1911
L8T	1272	1876
L8V	1372	1962
L8W	1355	1977
L9A	1402	2000
L9B	1222	1859
L9C	1278	1874
L9E	1444	2202
L9G	1067	1719
L9H	995	1546
L9J	1545	2387
L9K	1249	1923
L9L	918	1486
L9M	869	1438
L9N	1222	1919
L9P	965	1576
L9R	1135	1759
L9S	1159	1806
L9T	1273	1916
L9V	1037	1668
L9W	1113	1746
L9X	971	1670
L9Y	830	1495
L9Z	898	1470
M1B	1920	2578
M1C	1406	2015
M1E	1719	2312
M1G	1994	2657
M1H	1935	2614
M1J	2071	2723
M1K	1946	2561
M1L	1819	2451
M1M	1583	2181
M1N	1463	2051
M1P	1858	2520
M1R	1751	2375
M1S	1759	2404
M1T	1767	2395
M1V	1709	2330
M1W	1635	2228
M1X	1882	2592
M2H	1528	2193
M2J	1719	2420
M2K	1566	2368
M2L	1490	2377
M2M	1656	2449
M2N	1624	2394
M2P	1475	2362
M2R	1711	2470
M3A	1589	2250
M3B	1368	2169
M3C	1654	2329
M3H	1651	2454
M3J	2061	2768
M3K	1866	2621
M3L	1950	2666
M3M	1961	2629
M3N	2218	2933
M4A	1626	2244
M4B	1534	2144
M4C	1490	2074
M4E	1332	1942
M4G	1191	1928
M4H	2012	2716
M4J	1297	1868
M4K	1329	1923
M4L	1315	1922
M4M	1398	2040
M4N	1233	2135
M4P	1444	2177
M4R	1247	2074
